,date,Eyinos,Marathonas,Mornos,Yliki,Total
0,1985-01-01,0,18744148,561736000,491425000,1071905148
1,1985-01-02,0,18288394,562060000,499340000,1079688394
2,1985-01-03,0,17959091,564490000,503880000,1086329091
3,1985-01-04,0,17632916,566950000,506831000,1091413916
4,1985-01-05,0,16956000,569260000,509555000,1095771000
5,1985-01-06,0,17292908,571735000,511598000,1100625908
6,1985-01-07,0,16588728,574210000,513641000,1104439728
7,1985-01-08,0,16208555,578335000,516138000,1110681555
8,1985-01-09,0,15799796,585140000,518420000,1119359796
9,1985-01-10,0,15363628,590150000,521870000,1127383628
10,1985-01-11,0,14900942,591486000,524860000,1131246942
11,1985-01-12,0,14366586,592989000,526700000,1134055586
12,1985-01-13,0,14009997,594325000,528080000,1136414997
13,1985-01-14,0,13581088,595828000,529460000,1138869088
14,1985-01-15,0,13142652,596329000,530840000,1140311652
15,1985-01-16,0,12695322,597331000,532220000,1142246322
16,1985-01-17,0,16888860,598333000,534060000,1149281860
17,1985-01-18,0,16721800,599350000,540500000,1156571800
18,1985-01-19,0,16422964,600370000,545626000,1162418964
19,1985-01-20,0,16159310,601220000,549820000,1167199310
20,1985-01-21,0,15816065,602070000,552849000,1170735065
21,1985-01-22,0,15411760,602580000,555412000,1173403760
22,1985-01-23,0,15012050,603260000,557276000,1175548050
23,1985-01-24,0,14664112,604110000,558907000,1177681112
24,1985-01-25,0,14522830,604960000,560538000,1180020830
25,1985-01-26,0,14335398,605980000,561936000,1182251398
26,1985-01-27,0,14009997,607000000,563101000,1184110997
27,1985-01-28,0,13657268,608190000,564033000,1185880268
28,1985-01-29,0,13429232,609550000,564499000,1187478232
29,1985-01-30,0,13112606,610740000,564965000,1188817606
30,1985-01-31,0,12769387,611930000,566130000,1190829387
31,1985-02-01,0,12341940,612950000,566829000,1192120940
32,1985-02-02,0,11992738,613290000,566829000,1192111738
33,1985-02-03,0,11576051,613630000,566596000,1191802051
34,1985-02-04,0,11165232,613970000,566130000,1191265232
35,1985-02-05,0,10774150,614480000,565897000,1191151150
36,1985-02-06,0,10375039,614820000,565431000,1190626039
37,1985-02-07,0,9954930,614990000,565198000,1190142930
38,1985-02-08,0,9554240,615330000,564732000,1189616240
39,1985-02-09,0,9130952,615673000,564266000,1189069952
40,1985-02-10,0,8737760,615846000,564033000,1188616760
41,1985-02-11,0,8477656,616019000,563800000,1188296656
42,1985-02-12,0,8042118,618095000,563334000,1189471118
43,1985-02-13,0,7715778,620171000,563101000,1190987778
44,1985-02-14,0,7554870,622593000,563334000,1193481870
45,1985-02-15,0,7493250,623804000,563334000,1194631250
46,1985-02-16,0,7370880,624323000,563101000,1194794880
47,1985-02-17,0,7297974,625015000,563101000,1195413974
48,1985-02-18,0,7249370,625707000,562868000,1195824370
49,1985-02-19,0,7407591,626053000,562635000,1196095591
50,1985-02-20,0,7493250,626399000,562402000,1196294250
51,1985-02-21,0,7628901,626399000,562169000,1196196901
52,1985-02-22,0,7803090,626399000,561936000,1196138090
53,1985-02-23,0,7790592,626226000,561936000,1195952592
54,1985-02-24,0,7878165,626226000,561936000,1196040165
55,1985-02-25,0,7941090,626226000,561936000,1196103090
56,1985-02-26,0,8067462,626053000,561936000,1196056462
57,1985-02-27,0,8042118,626053000,561936000,1196031118
58,1985-02-28,0,8156427,625880000,561936000,1195972427
59,1985-03-01,0,8232981,624496000,561936000,1194664981
60,1985-03-02,0,8271432,624669000,561936000,1194876432
61,1985-03-03,0,8646515,625015000,562169000,1195830515
62,1985-03-04,0,8156427,625361000,562635000,1196152427
63,1985-03-05,0,8947036,624496000,563334000,1196777036
64,1985-03-06,0,8816130,623804000,563800000,1196420130
65,1985-03-07,0,8659550,625361000,564266000,1198286550
66,1985-03-08,0,8477656,626053000,564499000,1199029656
67,1985-03-09,0,8194704,626053000,564499000,1198746704
68,1985-03-10,0,7941090,626053000,564499000,1198493090
69,1985-03-11,0,7740600,626053000,564499000,1198292600
70,1985-03-12,0,7591842,626226000,564499000,1198316842
71,1985-03-13,0,7493250,626226000,564266000,1197985250
72,1985-03-14,0,7419828,626226000,564266000,1197911828
73,1985-03-15,0,7493250,626572000,564033000,1198098250
74,1985-03-16,0,7468776,627437000,564499000,1199404776
75,1985-03-17,0,7383117,628302000,565198000,1200883117
76,1985-03-18,0,7370880,629167000,565431000,1201968880
77,1985-03-19,0,7604166,631416000,565431000,1204451166
78,1985-03-20,0,7628901,633325000,565431000,1206384901
79,1985-03-21,0,7728189,634025000,565431000,1207184189
80,1985-03-22,0,7828086,634375000,565431000,1207634086
81,1985-03-23,0,7915920,634725000,565897000,1208537920
82,1985-03-24,0,8004102,635075000,566363000,1209442102
83,1985-03-25,0,8054790,635425000,566596000,1210075790
84,1985-03-26,0,8067462,635775000,566829000,1210671462
85,1985-03-27,0,8042118,636475000,566829000,1211346118
86,1985-03-28,0,8016774,637175000,566596000,1211787774
87,1985-03-29,0,8143668,637700000,566596000,1212439668
88,1985-03-30,0,8425928,638225000,566596000,1213246928
89,1985-03-31,0,8685620,638575000,566596000,1213856620
90,1985-04-01,0,8920808,638750000,566596000,1214266808
91,1985-04-02,0,9183646,638925000,566596000,1214704646
92,1985-04-03,0,9474608,638925000,566596000,1214995608
93,1985-04-04,0,9754114,638750000,566596000,1215100114
94,1985-04-05,0,10062738,638750000,566363000,1215175738
95,1985-04-06,0,10361350,638750000,566130000,1215241350
96,1985-04-07,0,10635850,638750000,565897000,1215282850
97,1985-04-08,0,10885358,638575000,565664000,1215124358
98,1985-04-09,0,11151188,638750000,565431000,1215332188
99,1985-04-10,0,11348642,638925000,565198000,1215471642
100,1985-04-11,0,11604557,639100000,564732000,1215436557
101,1985-04-12,0,11891568,639275000,564499000,1215665568
102,1985-04-13,0,12166854,639450000,564033000,1215649854
103,1985-04-14,0,12473979,639625000,563800000,1215898979
104,1985-04-15,0,12754574,639800000,563567000,1216121574
105,1985-04-16,0,13052654,639975000,563334000,1216361654
106,1985-04-17,0,13308265,639975000,563101000,1216384265
107,1985-04-18,0,13565852,640325000,562635000,1216525852
108,1985-04-19,0,13994550,640675000,562402000,1217071550
109,1985-04-20,0,14428962,641550000,562635000,1218613962
110,1985-04-21,0,14679866,641725000,562868000,1219272866
111,1985-04-22,0,14980262,641550000,562868000,1219398262
112,1985-04-23,0,15283408,641550000,562868000,1219701408
113,1985-04-24,0,15572950,641375000,562868000,1219815950
114,1985-04-25,0,15832334,641025000,562868000,1219725334
115,1985-04-26,0,16093650,640675000,562635000,1219403650
116,1985-04-27,0,16356866,640500000,562402000,1219258866
117,1985-04-28,0,16621996,640500000,561936000,1219057996
118,1985-04-29,0,16888860,640325000,561470000,1218683860
119,1985-04-30,0,17140955,639975000,561237000,1218352955
120,1985-05-01,0,17394470,640150000,560771000,1218315470
121,1985-05-02,0,17701292,640325000,560072000,1218098292
122,1985-05-03,0,17941824,640325000,559373000,1217639824
123,1985-05-04,0,18149380,639800000,558907000,1216856380
124,1985-05-05,0,18375604,639625000,558441000,1216441604
125,1985-05-06,0,18585691,639275000,557975000,1215835691
126,1985-05-07,0,18462988,639100000,557509000,1215071988
127,1985-05-08,0,18340720,638925000,557043000,1214308720
128,1985-05-09,0,18445459,638925000,556577000,1213947459
129,1985-05-10,0,18620836,638925000,556111000,1213656836
130,1985-05-11,0,18938716,638750000,555645000,1213333716
131,1985-05-12,0,19187963,638750000,555179000,1213116963
132,1985-05-13,0,19349072,638225000,554713000,1212287072
133,1985-05-14,0,19637360,637875000,554480000,1211992360
134,1985-05-15,0,19727955,637350000,554247000,1211324955
135,1985-05-16,0,19873288,636825000,554014000,1210712288
136,1985-05-17,0,19709800,636825000,553548000,1210082800
137,1985-05-18,0,19855040,636300000,553082000,1209237040
138,1985-05-19,0,20001024,635075000,552849000,1207925024
139,1985-05-20,0,20129220,635075000,552383000,1207587220
140,1985-05-21,0,20257784,634550000,551917000,1206724784
141,1985-05-22,0,20534908,633850000,551451000,1205835908
142,1985-05-23,0,20627712,633150000,550985000,1204762712
143,1985-05-24,0,20776640,632454000,550519000,1203749640
144,1985-05-25,0,20907596,631935000,550053000,1202895596
145,1985-05-26,0,21095320,631070000,549587000,1201752320
146,1985-05-27,0,21227280,630205000,549121000,1200553280
147,1985-05-28,0,21359603,629167000,548422000,1198948603
148,1985-05-29,0,21492484,628129000,547490000,1197111484
149,1985-05-30,0,21702134,627437000,546791000,1195930134
150,1985-05-31,0,21912870,627091000,546092000,1195095870
151,1985-06-01,0,22066942,626226000,545859000,1194151942
152,1985-06-02,0,22318413,625707000,545859000,1193884413
153,1985-06-03,0,22493400,625015000,545859000,1193367400
154,1985-06-04,0,22649672,625015000,545859000,1193523672
155,1985-06-05,0,22786880,623977000,545859000,1192622880
156,1985-06-06,0,22963896,623285000,545626000,1191874896
157,1985-06-07,0,23102021,622420000,545393000,1190915021
158,1985-06-08,0,23240698,621555000,544927000,1189722698
159,1985-06-09,0,23459465,620690000,544228000,1188377465
160,1985-06-10,0,23559358,619998000,543529000,1187086358
161,1985-06-11,0,23719522,618960000,543063000,1185742522
162,1985-06-12,0,23639346,618095000,542597000,1184331346
163,1985-06-13,0,23739613,617230000,541898000,1182867613
164,1985-06-14,0,23880250,616365000,541199000,1181444250
165,1985-06-15,0,23759704,615500000,540270000,1179529704
166,1985-06-16,0,23559358,614650000,539350000,1177559358
167,1985-06-17,0,23399750,613630000,538430000,1175459750
168,1985-06-18,0,23042772,612950000,537740000,1173732772
169,1985-06-19,0,22944177,612270000,536820000,1172034177
170,1985-06-20,0,23082210,611250000,535900000,1170232210
171,1985-06-21,0,23181265,610400000,534750000,1168331265
172,1985-06-22,0,23300225,609380000,533600000,1166280225
173,1985-06-23,0,23519364,608360000,532450000,1164329364
174,1985-06-24,0,23579355,607170000,531300000,1162049355
175,1985-06-25,0,23679340,606150000,529920000,1159749340
176,1985-06-26,0,23799886,605130000,528540000,1157469886
177,1985-06-27,0,23880250,604110000,527160000,1155150250
178,1985-06-28,0,24001354,602920000,525780000,1152701354
179,1985-06-29,0,24163194,601730000,524400000,1150293194
180,1985-06-30,0,24284850,600540000,523020000,1147844850
181,1985-07-01,0,24407076,599520000,521640000,1145567076
182,1985-07-02,0,24509022,598166000,520490000,1143165022
183,1985-07-03,0,24611332,596997000,519340000,1140948332
184,1985-07-04,0,24734288,595995000,518190000,1138919288
185,1985-07-05,0,24898720,594993000,516819000,1136710720
186,1985-07-06,0,25105240,593991000,515684000,1134780240
187,1985-07-07,0,25312750,592989000,514549000,1132850750
188,1985-07-08,0,25437856,591820000,513414000,1130671856
189,1985-07-09,0,25584107,590651000,512052000,1128287107
190,1985-07-10,0,25709801,589649000,510917000,1126275801
191,1985-07-11,0,25878093,588480000,509555000,1123913093
192,1985-07-12,0,26025836,587311000,508420000,1121756836
193,1985-07-13,0,26216474,586142000,507285000,1119643474
194,1985-07-14,0,26386558,584973000,505923000,1117282558
195,1985-07-15,0,26493298,583804000,504788000,1115085298
196,1985-07-16,0,26471950,582635000,503426000,1112532950
197,1985-07-17,0,26493298,581470000,502291000,1110254298
198,1985-07-18,0,26493298,580480000,501156000,1108129298
199,1985-07-19,0,26471950,579490000,500021000,1105982950
200,1985-07-20,0,26535994,578500000,498886000,1103921994
201,1985-07-21,0,26600136,577510000,497751000,1101861136
202,1985-07-22,0,26600136,576520000,496616000,1099736136
203,1985-07-23,0,26621582,575365000,495027000,1097013582
204,1985-07-24,0,26621582,574210000,493675000,1094506582
205,1985-07-25,0,26621582,573055000,492775000,1092451582
206,1985-07-26,0,26621582,571900000,491425000,1089946582
207,1985-07-27,0,26664474,570910000,490300000,1087874474
208,1985-07-28,0,26728812,569920000,489175000,1085823812
209,1985-07-29,0,26707366,568930000,488050000,1083687366
210,1985-07-30,0,26664474,567940000,486700000,1081304474
211,1985-07-31,0,26621582,566950000,485575000,1079146582
212,1985-08-01,0,26578690,565795000,484225000,1076598690
213,1985-08-02,0,26535994,564652000,483100000,1074287994
214,1985-08-03,0,26578690,563518000,481975000,1072071690
215,1985-08-04,0,26643028,562384000,480850000,1069877028
216,1985-08-05,0,26643028,561250000,479725000,1067618028
217,1985-08-06,0,26643028,560116000,478600000,1065359028
218,1985-08-07,0,26643028,558982000,477250000,1062875028
219,1985-08-08,0,26643028,557848000,475900000,1060391028
220,1985-08-09,0,26664474,556714000,474550000,1057928474
221,1985-08-10,0,26685920,555580000,473200000,1055465920
222,1985-08-11,0,26771704,554608000,472081000,1053460704
223,1985-08-12,0,26750258,553312000,470767000,1050829258
224,1985-08-13,0,26793150,552178000,469453000,1048424150
225,1985-08-14,0,26836244,551368000,468577000,1046781244
226,1985-08-15,0,26987073,550234000,467263000,1044484073
227,1985-08-16,0,27008620,549100000,465949000,1042057620
228,1985-08-17,0,27051906,547980000,464854000,1039885906
229,1985-08-18,0,27095192,546700000,463759000,1037554192
230,1985-08-19,0,27095192,545580000,462664000,1035339192
231,1985-08-20,0,27030263,544460000,462007000,1033497263
232,1985-08-21,0,26965526,543340000,460912000,1031217526
233,1985-08-22,0,26879338,542220000,459817000,1028916338
234,1985-08-23,0,26857791,541100000,458722000,1026679791
235,1985-08-24,0,26836244,539980000,457846000,1024662244
236,1985-08-25,0,26857791,538860000,456970000,1022687791
237,1985-08-26,0,26836244,537740000,456094000,1020670244
238,1985-08-27,0,26750258,536620000,455218000,1018588258
239,1985-08-28,0,26664474,535500000,454561000,1016725474
240,1985-08-29,0,26600136,534380000,453904000,1014884136
241,1985-08-30,0,26578690,533260000,453247000,1013085690
242,1985-08-31,0,26600136,532146000,452590000,1011336136
243,1985-09-01,0,26621582,531192000,452152000,1009965582
244,1985-09-02,0,26578690,530238000,451714000,1008530690
245,1985-09-03,0,26493298,529125000,451276000,1006894298
246,1985-09-04,0,26450602,528171000,450838000,1005459602
247,1985-09-05,0,26386558,527217000,450400000,1004003558
248,1985-09-06,0,26322714,526104000,449976000,1002402714
249,1985-09-07,0,26301466,525150000,449552000,1001003466
250,1985-09-08,0,26301466,524037000,449128000,999466466
251,1985-09-09,0,26280218,522924000,448704000,997908218
252,1985-09-10,0,26280218,521652000,448280000,996212218
253,1985-09-11,0,26280218,520380000,447856000,994516218
254,1985-09-12,0,26237722,519267000,447432000,992936722
255,1985-09-13,0,26216474,517995000,447008000,991219474
256,1985-09-14,0,26280218,516886000,446584000,989750218
257,1985-09-15,0,26216474,515787000,446160000,988163474
258,1985-09-16,0,26216474,514688000,445736000,986640474
259,1985-09-17,0,26216474,513746000,445312000,985274474
260,1985-09-18,0,26216474,512804000,444676000,983696474
261,1985-09-19,0,26216474,511705000,444252000,982173474
262,1985-09-20,0,26237722,510606000,443828000,980671722
263,1985-09-21,0,26280218,509507000,443404000,979191218
264,1985-09-22,0,26258970,508565000,442980000,977803970
265,1985-09-23,0,26237722,507309000,442556000,976102722
266,1985-09-24,0,26237722,506053000,441920000,974210722
267,1985-09-25,0,26258970,504797000,441496000,972551970
268,1985-09-26,0,26258970,503698000,441072000,971028970
269,1985-09-27,0,26258970,502599000,440860000,969717970
270,1985-09-28,0,26258970,501500000,440648000,968406970
271,1985-09-29,0,26258970,500415000,440436000,967109970
272,1985-09-30,0,26237722,499330000,440224000,965791722
273,1985-10-01,0,26258970,498245000,440012000,964515970
274,1985-10-02,0,26280218,497005000,439800000,963085218
275,1985-10-03,0,26322714,495920000,439588000,961830714
276,1985-10-04,0,26343962,494835000,439376000,960554962
277,1985-10-05,0,26280218,493750000,439164000,959194218
278,1985-10-06,0,26343962,492665000,438952000,957960962
279,1985-10-07,0,26343962,491580000,438740000,956663962
280,1985-10-08,0,26343962,490340000,438528000,955211962
281,1985-10-09,0,26407906,489255000,438316000,953978906
282,1985-10-10,0,26407906,488170000,438104000,952681906
283,1985-10-11,0,26429254,487085000,437892000,951406254
284,1985-10-12,0,26471950,486155000,439800000,952426950
285,1985-10-13,0,26493298,485088000,437256000,948837298
286,1985-10-14,0,26600136,484176000,437044000,947820136
287,1985-10-15,0,26685920,483264000,437468000,947417920
288,1985-10-16,0,26836244,482200000,438104000,947140244
289,1985-10-17,0,26836244,481136000,438528000,946500244
290,1985-10-18,0,26857791,480224000,439164000,946245791
291,1985-10-19,0,27225050,479160000,438528000,944913050
292,1985-10-20,0,27290261,478096000,439588000,944974261
293,1985-10-21,0,28766260,477184000,439588000,945538260
294,1985-10-22,0,27507910,476120000,439588000,943215910
295,1985-10-23,0,27638890,475208000,439588000,942434890
296,1985-10-24,0,27748416,474296000,439800000,941844416
297,1985-10-25,0,27836112,473384000,439800000,941020112
298,1985-10-26,0,27968024,472320000,439800000,940088024
299,1985-10-27,0,28144342,471256000,439800000,939200342
300,1985-10-28,0,28277008,470204000,439800000,938281008
301,1985-10-29,0,28365638,469161000,439800000,937326638
302,1985-10-30,0,28454454,468267000,439800000,936521454
303,1985-10-31,0,28543270,467522000,439800000,935865270
304,1985-11-01,0,28654765,466479000,439800000,934933765
305,1985-11-02,0,28743961,465883000,439800000,934426961
306,1985-11-03,0,28833433,465138000,439800000,933771433
307,1985-11-04,0,28945388,464393000,439800000,933138388
308,1985-11-05,0,29080110,464542000,439800000,933422110
309,1985-11-06,0,29170050,464691000,439800000,933661050
310,1985-11-07,0,29260180,466181000,440012000,935453180
311,1985-11-08,0,29373080,466777000,440012000,936162080
312,1985-11-09,0,29486168,466330000,440012000,935828168
313,1985-11-10,0,29576864,465883000,440012000,935471864
314,1985-11-11,0,29667560,465436000,440012000,935115560
315,1985-11-12,0,29758640,464542000,440012000,934312640
316,1985-11-13,0,29849720,463648000,439800000,933297720
317,1985-11-14,0,29940990,462903000,439588000,932431990
318,1985-11-15,0,30032450,462009000,439376000,931417450
319,1985-11-16,0,30055315,461264000,439164000,930483315
320,1985-11-17,0,30078180,460519000,439164000,929761180
321,1985-11-18,0,30078180,459774000,439164000,929016180
322,1985-11-19,0,30101045,459029000,439164000,928294045
323,1985-11-20,0,30123910,458284000,439164000,927571910
324,1985-11-21,0,30169826,457837000,439164000,927170826
325,1985-11-22,0,30215742,457092000,439164000,926471742
326,1985-11-23,0,30261658,457986000,439164000,927411658
327,1985-11-24,0,30399600,459029000,439800000,929228600
328,1985-11-25,0,30307574,459923000,440436000,930666574
